subject,content,label
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Project update,Here is the report for this week. Let me know if you have questions.,clean
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Project update,Here is the report for this week. Let me know if you have questions.,clean
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Project update,Here is the report for this week. Let me know if you have questions.,clean
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Project update,Here is the report for this week. Let me know if you have questions.,clean
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Project update,Here is the report for this week. Let me know if you have questions.,clean
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Project update,Here is the report for this week. Let me know if you have questions.,clean
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Project update,Here is the report for this week. Let me know if you have questions.,clean
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Project update,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Project update,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Project update,Here is the report for this week. Let me know if you have questions.,clean
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Project update,Here is the report for this week. Let me know if you have questions.,clean
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Project update,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Project update,Here is the report for this week. Let me know if you have questions.,clean
Project update,Here is the report for this week. Let me know if you have questions.,clean
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Project update,Here is the report for this week. Let me know if you have questions.,clean
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Project update,Here is the report for this week. Let me know if you have questions.,clean
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Project update,Here is the report for this week. Let me know if you have questions.,clean
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Project update,Here is the report for this week. Let me know if you have questions.,clean
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Project update,Here is the report for this week. Let me know if you have questions.,clean
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Project update,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Project update,Here is the report for this week. Let me know if you have questions.,clean
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Project update,Here is the report for this week. Let me know if you have questions.,clean
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Project update,Here is the report for this week. Let me know if you have questions.,clean
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Invoice attached,See attached invoice.zip for details. Enable macros to view the document.,malware
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Project update,Here is the report for this week. Let me know if you have questions.,clean
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Discount inside,Buy now and get 50% off. Click http://promo.example.com,spam
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Security alert,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Updated policy,See attached invoice.zip for details. Enable macros to view the document.,malware
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Payroll report,See attached invoice.zip for details. Enable macros to view the document.,malware
Claim your prize,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Congratulations winner,Buy now and get 50% off. Click http://promo.example.com,spam
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Verify your account,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Limited time offer,Buy now and get 50% off. Click http://promo.example.com,spam
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Meeting notes,Here is the report for this week. Let me know if you have questions.,clean
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Unusual activity detected,Your account requires attention. Please confirm details.,suspicious
Important document,See attached invoice.zip for details. Enable macros to view the document.,malware
Urgent password reset,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Monthly report,Here is the report for this week. Let me know if you have questions.,clean
Account locked,Please verify your login at http://secure-login.example.com to avoid suspension.,phishing
Team schedule,Here is the report for this week. Let me know if you have questions.,clean
